,timestamp,dev_sn,cartridge_id,battery_charge,battery_voltage,volumetric_flowrate,sampled_volume,pump_v,plantower_pm25,pump_rh,pump_t,atmo_rho,pcbp,fdpdp,air_mass_factor,aod_870,aod_675,aod_500,aod_440,aodt,aodp,aodf,aodrh,pm_flag,rssi,i2cf
0,2021-09-19T23:43:41Z,AD00096,J0134,100,14.3977,0,2879.49,12.2424,15.1429,56.3135,31.36,1.11992,988.69,0,2.38664,-66666,-66666,-66666,-66666,27.72,989.23,,43.4746,,-73,
1,2021-09-19T23:23:56Z,AD00096,J0134,100,14.3988,0,2879.49,12.2512,13.4,54.8154,31.94,1.11759,988.57,0,2.38664,-66666,-66666,-66666,-66666,28.63,989.07,,43.5518,,-73,
2,2021-09-19T23:03:57Z,AD00096,J0134,100,14.3977,0,2879.49,12.2413,12.5333,55.6797,31.67,1.11862,988.61,0,2.38664,-66666,-66666,-66666,-66666,29.85,989.14,,43.8115,,-74,
3,2021-09-19T22:43:42Z,AD00096,J0134,100,14.3988,0,2879.49,12.2654,11.6429,51.0244,33.07,1.11365,988.65,0,2.38664,-66666,-66666,-66666,-66666,30.4,989.27,,43.7627,,-74,
4,2021-09-19T22:23:57Z,AD00096,J0134,100,14.4009,0,2879.49,12.2929,10.0667,47.1074,34.15,1.10987,988.58,0,2.38664,-77777,-77777,-77777,-77777,30.18,989.2,,43.1602,,-73,
5,2021-09-19T22:03:57Z,AD00096,J0134,100,14.4009,0,2879.49,12.2863,10.4667,47.8301,33.67,1.11147,988.35,0,2.38664,-77777,-77777,-77777,-77777,29.65,989,,43.4873,,-72,
6,2021-09-19T21:43:57Z,AD00096,J0134,100,14.4009,0,2879.49,12.2885,10.8,47.8916,33.7,1.11115,988.19,0,2.38664,-77777,-77777,-77777,-77777,29.66,988.86,,43.8447,,-73,
7,2021-09-19T21:23:58Z,AD00096,J0134,100,14.4031,0,2879.49,12.3049,12.1333,48.0361,35.08,1.10551,988.39,0,2.38664,-77777,-77777,-77777,-77777,31.35,988.84,,44.0781,,-74,
8,2021-09-19T21:03:43Z,AD00096,J0134,100,14.402,0,2879.49,12.3071,15.2143,47.4971,35.04,1.10557,988.18,0,2.38664,-77777,-77777,-77777,-77777,31.07,988.91,,44.3379,,-74,
9,2021-09-19T20:43:43Z,AD00096,J0134,100,14.4031,0,2879.49,12.3104,13.8571,46.1045,35.16,1.10558,988.34,0,2.38664,-77777,-77777,-77777,-77777,31.3,988.89,,44.2988,,-74,
10,2021-09-19T20:23:58Z,AD00096,J0134,100,14.402,0,2879.49,12.3082,14.6,47.2695,35.15,1.10538,988.37,0,2.38664,-77777,-77777,-77777,-77777,32.13,988.97,,43.8877,,-73,
11,2021-09-19T20:03:58Z,AD00096,J0134,99,13.6674,0,2879.49,12.2413,14.4667,50.6875,34.1,1.10899,988.34,0,2.38664,-77777,-77777,-77777,-77777,32.33,988.9,,43.457,,-72,
12,2021-09-19T19:43:58Z,AD00096,J0134,100,14.4031,0,2879.49,12.3181,16.5333,48.1465,35.56,1.10353,988.46,0,2.38664,-77777,-77777,-77777,-77777,32.88,989.06,,44.001,,-73,
13,2021-09-19T19:23:44Z,AD00096,J0134,100,14.4031,0,2879.49,12.3225,16.1429,45.4941,35.86,1.1031,988.61,0,2.38664,-77777,-77777,-77777,-77777,33.21,989.23,,42.8828,,-75,
14,2021-09-19T19:03:59Z,AD00096,J0134,100,14.4031,0,2879.49,12.3334,17.1333,44.8105,36.92,1.09915,988.9,0,2.38664,-77777,-77777,-77777,-77777,36.36,989.66,,43.7256,,-74,
15,2021-09-19T18:43:44Z,AD00096,J0134,100,14.4063,0,2879.49,12.3619,17.5714,37.7949,39.57,1.09049,989.2,0,2.38664,-77777,-77777,-77777,-77777,38.56,989.88,,44.0479,,-74,
16,2021-09-19T18:23:59Z,AD00096,J0134,100,14.4042,0,2879.49,12.3345,18.2,43.3418,37.21,1.09906,989.55,0,2.38664,-77777,-77777,-77777,-77777,35,990.21,,43.4531,,-73,
17,2021-09-19T18:03:59Z,AD00096,J0134,100,14.4042,0,2879.49,12.3312,18.8,43.3926,36.98,1.10031,989.82,0,2.38664,-77777,-77777,-77777,-77777,35.36,990.58,,43.3838,,-73,
18,2021-09-19T17:43:44Z,AD00096,J0134,100,14.4042,0,2879.49,12.3521,19.3571,39.9717,38.4,1.09572,990.14,0,2.38664,-77777,-77777,-77777,-77777,37.59,990.88,,43.9053,,-74,
19,2021-09-19T17:24:00Z,AD00096,J0134,100,14.4031,0,2879.49,12.3269,19.6,44.8691,36.54,1.10245,990.43,0,2.38664,-77777,-77777,-77777,-77777,35.88,991.07,,43.5977,,-74,
20,2021-09-19T17:03:45Z,AD00096,J0134,100,14.4031,0,2879.49,12.3279,20.7143,44.3848,36.48,1.10308,990.65,0,2.38664,-77777,-77777,-77777,-77777,35.47,991.3,,43.8994,,-75,
21,2021-09-19T16:44:00Z,AD00096,J0134,100,14.4031,0,2879.49,12.3203,21.4667,46.2178,35.93,1.1052,990.9,0,2.38664,-77777,-77777,-77777,-77777,34.39,991.48,,43.457,,-73,
22,2021-09-19T16:23:45Z,AD00096,J0134,100,14.402,0,2879.49,12.3049,21.1429,48.6709,34.55,1.11069,991.12,0,2.38664,-77777,-77777,-77777,-77777,32.18,991.71,,43.2588,,-72,
